country;group;population
Afghanistan;Asia;37172386
Albania;Europe;2866376
Algeria;Africa;42228429
Andorra;Europe;77006
Angola;Africa;30809762
Antigua and Barbuda;Central & North America;96286
Argentina;South America;44494502
Armenia;Europe;2951776
Aruba;Central & North America;105845
Australia;Oceania;24992369
Austria;Europe;8847037
Azerbaijan;Europe;9942334
Bahamas;Central & North America;385640
Bahrain;Middle East;1569439
Bangladesh;Asia;161356039
Barbados;Central & North America;286641
Belarus;Europe;9485386
Belgium;Europe;11422068
Belize;Central & North America;383071
Benin;Africa;11485048
Bermuda;Central & North America;63968
Bhutan;Middle East;754394
Bolivia;South America;11353142
Bosnia and Herzegovina;Europe;3323929
Brazil;Main countries;209469333
British Virgin Islands;Central & North America;29802
Brunei Darussalam;Asia;428962
Bulgaria;Europe;7024216
Burkina Faso;Africa;19751535
Cambodia;Asia;16249798
Cameroon;Africa;25216237
Canada;Central & North America;37058856
Cape Verde;Africa;543767
Cayman Islands;Central & North America;64174
Central African Republic;Africa;4666377
Chad;Africa;15477751
Chile;South America;18729160
China;Main countries;1392730000
Colombia;South America;49648685
Congo;Africa;5244363
Costa Rica;Central & North America;4999441
Cote dIvoire;Africa;25069229
Croatia;Europe;4089400
Cuba;Central & North America;11338138
Curacao;Central & North America;159849
Cyprus;Europe;1189265
Czech Republic;Europe;10625695
Democratic Republic of the Congo;Africa;84068091
Denmark;Europe;5797446
Djibouti;Africa;958920
Dominica;Central & North America;71625
Dominican Republic;Central & North America;10627165
Ecuador;South America;17084357
Egypt;Africa;98423595
El Salvador;Central & North America;6420744
Equatorial Guinea;Africa;1308974
Eritrea;Africa;0
Estonia;Europe;1320884
Eswatini;Africa;1367000
Ethiopia;Africa;109224559
Faroe Islands;Europe;48497
Fiji;Oceania;883483
Finland;Europe;5518050
France;Main countries;66987244
French Polynesia;Oceania;277679
Gabon;Africa;2119275
Gambia;Africa;2280102
Georgia;Europe;3731000
Germany;Main countries;82927922
Ghana;Africa;29767108
Gibraltar;Europe;33718
Greece;Europe;10727668
Greenland;Europe;56025
Grenada;Central & North America;111454
Guam;Oceania;165768
Guatemala;Central & North America;17247807
Guernsey;Europe;63026
Guinea;Africa;12414318
Guinea Bissau;Africa;1874309
Guyana;South America;779004
Haiti;Central & North America;11123176
Holy See;Europe;1000
Honduras;Central & North America;9587522
Hungary;Europe;9768785
Iceland;Europe;353574
India;Main countries;1352617328
Indonesia;Asia;267663435
Iran;Main countries;81800269
Iraq;Middle East;38433600
Ireland;Europe;4853506
Isle of Man;Europe;84077
Israel;Middle East;8883800
Italy;Main countries;60431283
Jamaica;Central & North America;2934855
Japan;Asia;126529100
Jersey;Europe;106800
Jordan;Middle East;9956011
Kazakhstan;Asia;18276499
Kenya;Africa;51393010
Kosovo;Europe;1845300
Kuwait;Middle East;4137309
Kyrgyzstan;Asia;6315800
Laos;Asia;7061507
Latvia;Europe;1926542
Lebanon;Middle East;6848925
Liberia;Africa;4818977
Libya;Africa;6678567
Liechtenstein;Europe;37910
Lithuania;Europe;2789533
Luxembourg;Europe;607728
Madagascar;Africa;26262368
Malaysia;Asia;31528585
Maldives;Asia;515696
Mali;Africa;19077690
Malta;Europe;483530
Mauritania;Africa;4403319
Mauritius;Africa;1265303
Mexico;Central & North America;126190788
Moldova;Europe;3545883
Monaco;Europe;38682
Mongolia;Asia;3170208
Montenegro;Europe;622345
Montserrat;Europe;5900
Morocco;Africa;36029138
Mozambique;Africa;29495962
Myanmar;Asia;53708395
Namibia;Africa;2448255
Nepal;Asia;28087871
Netherlands;Europe;17231017
New Caledonia;Oceania;284060
New Zealand;Oceania;4885500
Nicaragua;Central & North America;6465513
Niger;Africa;22442948
Nigeria;Africa;195874740
North Macedonia;Europe;2082958
Norway;Europe;5314336
Oman;Middle East;4829483
Pakistan;Asia;212215030
Palestine;Middle East;4569087
Panama;Central & North America;4176873
Papua New Guinea;Asia;8606316
Paraguay;South America;6956071
Peru;South America;31989256
Philippines;Asia;106651922
Poland;Europe;37978548
Portugal;Europe;10281762
Puerto Rico;Central & North America;3195153
Qatar;Middle East;2781677
Romania;Europe;19473936
Russia;Europe;144478050
Rwanda;Africa;12301939
Saint Kitts and Nevis;Central & North America;52441
Saint Lucia;Central & North America;181889
Saint Vincent and the Grenadines;Central & North America;110210
San Marino;Europe;33785
Saudi Arabia;Middle East;33699947
Senegal;Africa;15854360
Serbia;Europe;6982084
Seychelles;Africa;96762
Singapore;Asia;5638676
Sint Maarten;Central & North America;41486
Slovakia;Europe;5447011
Slovenia;Europe;2067372
Somalia;Africa;15008154
South Africa;Africa;57779622
South Korea;Main countries;51635256
Spain;Main countries;46723749
Sri Lanka;Asia;21670000
Sudan;Africa;41801533
Suriname;South America;575991
Sweden;Europe;10183175
Switzerland;Europe;8516543
Syria;Middle East;16906283
Taiwan;Asia;23780452
Thailand;Asia;69428524
Timor Leste;Asia;1267972
Togo;Africa;7889094
Trinidad and Tobago;Central & North America;1389858
Tunisia;Africa;11565204
Turkey;Europe;82319724
Turks and Caicos islands;Central & North America;31458
Uganda;Africa;42723139
Ukraine;Europe;44622516
United Arab Emirates;Middle East;9630959
United Kingdom;Main countries;66488991
United Republic of Tanzania;Africa;56318348
United States of America;Main countries;327167434
United States Virgin Islands;Central & North America;106977
Uruguay;South America;3449299
Uzbekistan;Asia;32955400
Venezuela;South America;28870195
Vietnam;Asia;95540395
Zambia;Africa;17351822
Zimbabwe;Africa;14439018
